FeatureID,calc_mw,mz,rt
18.153_293.2109_RP,292.20362,293.2109,18.153
1.205_198.097_RP,180.06318,198.097,1.205
19.442_280.26328_RP,262.22945,280.26328,19.442
1.563_229.11806_RP,228.11078,229.11806,1.563
1.309_235.16499_RP,234.15771,235.16499,1.309
1.172_76.03929_RP,75.03201,76.03929,1.172
19.351_279.23162_RP,278.22435,279.23162,19.351
1.115_242.92514_RP,241.91787,242.92514,1.115
16.774_368.2429_RP,367.23562,368.2429,16.774
1.235_110.02689_RP,109.01961,110.02689,1.235
8.37_251.05955_RP,250.05227,251.05955,8.37
1.146_243.07385_RP,242.06657,243.07385,1.146
19.627_263.23675_RP,262.22945,263.23675,19.627
6.534_269.08781_RP,268.08053,269.08781,6.534
19.794_296.25824_RP,278.22441,296.25824,19.794
1.515_276.11876_RP,275.11148,276.11876,1.515
11.292_194.08436_RP,193.07709,194.08436,11.292
1.561_175.10757_RP,174.10029,175.10757,1.561
1.11_90.97656_RP,89.96928,90.97656,1.11
18.151_405.17478_RP,404.1675,405.17478,18.151
1.534_427.09477_RP,426.08749,427.09477,1.534
18.341_355.3681_RP,354.36082,355.3681,18.341
18.152_311.22146_RP,310.21419,311.22146,18.152
6.403_266.03265_RP,247.99883,266.03265,6.403
19.639_318.24011_RP,317.23284,318.24011,19.639
7.301_120.08064_RP,102.04681,120.08064,7.301
17.749_275.20039_RP,274.19311,275.20039,17.749
17.381_430.16999_RP,429.16271,430.16999,17.381
1.119_258.89908_RP,257.8918,258.89908,1.119
1.109_430.91327_RP,429.90599,430.91327,1.109
1.169_224.11265_RP,223.10537,224.11265,1.169
1.056_163.10761_RP,162.10033,163.10761,1.056
10.323_287.13003_RP,286.12275,287.13003,10.323
17.233_159.01305_RP,158.00577,159.01305,17.233
1.166_223.07448_RP,222.0672,223.07448,1.166
17.512_159.01305_RP,158.00578,159.01305,17.512
19.564_442.31353_RP,419.32434,442.31353,19.564
16.774_350.23239_RP,349.22512,350.23239,16.774
20.638_283.26298_RP,282.2557,283.26298,20.638
19.538_376.30541_RP,375.29811,376.30541,19.538
1.546_230.09553_RP,229.08825,230.09553,1.546
17.748_293.21093_RP,292.20365,293.21093,17.748
3.101_200.09157_RP,199.08429,200.09157,3.101
1.127_189.15961_RP,188.15234,189.15961,1.127
2.786_348.07017_RP,347.0629,348.07017,2.786
2.494_133.03169_RP,132.02442,133.03169,2.494
1.11_362.926_RP,361.91872,362.926,1.11
1.429_263.146_RP,262.13873,263.146,1.429
20.875_496.33944_RP,495.33217,496.33944,20.875
7.576_211.10756_RP,210.10028,211.10756,7.576
17.094_368.24289_RP,367.23562,368.24289,17.094
17.96_275.20037_RP,274.1931,275.20037,17.96
1.11_158.96392_RP,157.95664,158.96392,1.11
14.471_291.0704_RP,290.06312,291.0704,14.471
17.961_293.2109_RP,292.20362,293.2109,17.961
1.337_227.12488_RP,226.11761,227.12488,1.337
1.333_112.99971_RP,111.99243,112.99971,1.333
20.728_254.24766_RP,253.24038,254.24766,20.728
18.152_325.23714_RP,324.22986,325.23714,18.152
17.953_341.35236_RP,340.34508,341.35236,17.953
14.112_232.15414_RP,231.14686,232.15414,14.112
1.557_171.07627_RP,170.06899,171.07627,1.557
20.006_303.23165_RP,302.22437,303.23165,20.006
1.228_216.06294_RP,215.05566,216.06294,1.228
2.027_72.08077_RP,71.07349,72.08077,2.027
18.153_257.18978_RP,256.1825,257.18978,18.153
1.121_274.87302_RP,273.86574,274.87302,1.121
19.762_280.26331_RP,262.22948,280.26331,19.762
20.201_280.26328_RP,262.22946,280.26328,20.201
1.12_122.92435_RP,121.91707,122.92435,1.12
1.298_180.08647_RP,162.05265,180.08647,1.298
1.108_498.90071_RP,497.89344,498.90071,1.108
16.803_384.23782_RP,383.23055,384.23782,16.803
19.443_320.25579_RP,319.24852,320.25579,19.443
1.188_298.05238_RP,297.0451,298.05238,1.188
1.422_205.08168_RP,187.04786,205.08168,1.422
1.106_566.88808_RP,565.8808,566.88808,1.106
1.147_170.09232_RP,169.08504,170.09232,1.147
19.598_464.35775_RP,463.35051,464.35775,19.598
1.514_259.09219_RP,258.08493,259.09219,1.514
1.541_134.02689_RP,133.01961,134.02689,1.541
17.094_386.25346_RP,385.24618,386.25346,17.094
1.394_129.06572_RP,128.05844,129.06572,1.394
4.534_86.09638_RP,85.0891,86.09638,4.534
17.382_275.20039_RP,274.19311,275.20039,17.382
8.62_172.09678_RP,171.0895,172.09678,8.62
6.533_537.16838_RP,536.16111,537.16838,6.533
20.508_426.3187_RP,403.32948,426.3187,20.508
17.994_327.21644_RP,326.20914,327.21644,17.994
9.795_178.10724_RP,160.07341,178.10724,9.795
6.863_151.09639_RP,150.0891,151.09639,6.863
1.253_275.05235_RP,274.04507,275.05235,1.253
20.512_470.34486_RP,447.35565,470.34486,20.512
17.381_322.23754_RP,321.23026,322.23754,17.381
1.114_446.88717_RP,445.87989,446.88717,1.114
1.356_309.12901_RP,308.12174,309.12901,1.356
18.154_307.22658_RP,306.2193,307.22658,18.154
1.485_162.07597_RP,161.06869,162.07597,1.485
1.107_702.8627_RP,701.85542,702.8627,1.107
11.292_132.04764_RP,131.04037,132.04764,11.292
1.364_198.0888_RP,197.08152,198.0888,1.364
17.095_350.23237_RP,349.2251,350.23237,17.095
20.472_228.23201_RP,227.22474,228.23201,20.472
18.819_369.38372_RP,368.37644,369.38372,18.819
17.67_357.34734_RP,356.34007,357.34734,17.67
1.562_243.09728_RP,242.09001,243.09728,1.562
10.214_197.12827_RP,196.12099,197.12827,10.214
1.107_634.8754_RP,633.86812,634.8754,1.107
1.114_378.89988_RP,377.8926,378.89988,1.114
19.638_296.25823_RP,295.25094,296.25823,19.638
20.201_298.27384_RP,297.26658,298.27384,20.201
15.425_225.06582_RP,224.05854,225.06582,15.425
13.3_184.13305_RP,183.12578,184.13305,13.3
2.418_286.13956_RP,285.13228,286.13956,2.418
1.211_251.03636_RP,250.02908,251.03636,1.211
1.481_203.15005_RP,202.14278,203.15005,1.481
1.11_294.93859_RP,293.93132,294.93859,1.11
1.945_229.11813_RP,228.11086,229.11813,1.945
20.808_254.24765_RP,253.24037,254.24765,20.808
1.118_462.86114_RP,461.85386,462.86114,1.118
17.749_419.19047_RP,418.1832,419.19047,17.749
1.286_130.04973_RP,129.04245,130.04973,1.286
1.364_219.13375_RP,218.12647,219.13375,1.364
1.17_206.1021_RP,205.09483,206.1021,1.17
15.885_358.22223_RP,357.21496,358.22223,15.885
7.372_100.07561_RP,99.06833,100.07561,7.372
1.358_194.10214_RP,193.09487,194.10214,1.358
13.43_186.1487_RP,185.14142,186.1487,13.43
19.036_383.39935_RP,382.39207,383.39935,19.036
19.35_296.25822_RP,295.25095,296.25822,19.35
20.233_620.43628_RP,619.429,620.43628,20.233
1.695_175.1076_RP,174.10032,175.1076,1.695
