database_id,cmm_id,prediction
NPA000245,243,764.12665
NPA000246,244,707.5642
NPA000247,245,1037.1125
NPA000248,246,666.31696
NPA000249,247,595.0723
NPA000250,248,962.0035
NPA000251,249,738.61206
NPA000252,250,674.2026
NPA000253,251,957.8363
NPA000254,252,787.3457
NPA000255,253,928.05347
NPA000256,254,675.8866
NPA000257,255,661.36395
NPA000258,256,1055.997
NPA000259,257,800.3178
NPA000260,258,924.64935
NPA000261,259,763.815
NPA000262,260,713.51447
NPA000263,261,1034.4646
NPA000264,262,814.24133
NPA000265,263,969.99493
NPA000266,264,918.25256
NPA000267,265,725.7464
NPA000268,266,1288.8276
NPA000269,267,977.1474
NPA000270,268,588.5137
NPA000271,269,700.42126
NPA000272,270,1231.9474
NPA000273,271,644.41425
NPA000274,272,950.19574
NPA000275,273,854.13434
NPA000276,274,944.3738
NPA000277,275,988.59283
NPA000278,276,799.9972
NPA000279,277,650.5729
NPA000280,278,732.80963
NPA000281,279,722.1255
NPA000282,280,738.86584
NPA000283,281,876.3799
NPA000284,282,595.2534
NPA000285,283,757.10443
NPA000286,284,692.4134
NPA000287,285,887.58496
NPA000288,286,596.15454
NPA000289,287,1309.4813
NPA000290,288,665.4429
NPA000291,289,1191.2573
NPA000292,290,873.8869
NPA000293,291,664.10126
NPA000294,292,762.3348
NPA000295,293,807.4438
NPA000296,294,642.8963
NPA000297,295,818.29834
NPA000298,296,762.3912
NPA000299,297,632.68054
NPA000300,298,603.8631
NPA000301,299,931.1626
NPA000302,300,781.60626
NPA000303,301,733.842
NPA000304,302,818.3222
NPA000305,303,884.1494
NPA000306,304,709.72876
NPA000307,305,746.5312
NPA000308,306,657.9449
NPA000309,307,789.84546
NPA000310,308,801.05585
NPA000311,309,782.3973
NPA000312,310,954.50867
NPA000313,311,958.34766
NPA000314,312,765.4997
NPA000315,313,576.6547
NPA000316,314,866.98395
NPA000317,315,710.3729
NPA000318,316,803.899
NPA000319,317,730.04785
NPA000320,318,81.991135
NPA000321,319,692.75073
NPA000322,320,571.0559
NPA000323,321,1258.9803
NPA000324,322,736.60406
NPA000325,323,662.8781
NPA000326,324,1018.94147
NPA000327,325,817.936
NPA000328,326,800.07477
NPA000329,327,724.5316
NPA000330,328,897.8399
NPA000331,329,677.0056
NPA000332,330,1254.9882
NPA000333,331,1260.2345
NPA000334,332,836.098
NPA000335,333,864.2664
NPA000336,334,676.2898
NPA000337,335,1093.7847
NPA000338,336,984.7301
NPA000339,337,729.58295
NPA000340,338,1065.2172
NPA000341,339,671.0806
NPA000342,340,625.0019
NPA000343,341,687.6077
NPA000344,342,1027.8207
NPA000345,343,703.51385
NPA000346,344,732.9251
NPA000347,345,864.4316
NPA000348,346,773.47253
NPA000349,347,788.63556
NPA000350,348,918.764
NPA000351,349,800.25464
NPA000352,350,632.1232
NPA000353,351,768.7027
NPA000354,352,1155.64
NPA000355,353,806.4523
NPA000356,354,778.37683
NPA000357,355,748.12036
NPA000358,356,975.5694
NPA000359,357,844.96173
NPA000360,358,672.0119
NPA000361,359,732.7572
NPA000362,360,958.14465
NPA000363,361,880.2685
NPA000364,362,748.97424
NPA000365,363,787.39465
NPA000366,364,950.90924
NPA000367,365,90.78559
NPA000368,366,1005.1245
NPA000369,367,648.75415
NPA000370,368,719.8947
NPA000371,369,892.25806
NPA000372,370,829.81494
NPA000373,371,936.09827
NPA000374,372,899.9861
NPA000375,373,1065.0675
NPA000376,374,830.0163
NPA000377,375,949.39764
NPA000378,376,1221.877
NPA000379,377,716.6315
NPA000380,378,730.8345
NPA000381,379,972.0835
NPA000382,380,941.7831
NPA000383,381,968.4833
NPA000384,382,643.12494
NPA000385,383,643.8767
NPA000386,384,1083.0415
NPA000387,385,666.64685
NPA000388,386,592.19653
NPA000389,387,739.92725
NPA000390,388,660.3362
NPA000391,389,1156.5573
NPA000392,390,689.59283
NPA000393,391,962.11975
NPA000394,392,847.78705
NPA000395,393,1022.178
NPA000396,394,1318.8491
NPA000397,395,669.9913
NPA000398,396,776.16284
NPA000399,397,842.64105
NPA000400,398,871.08575
NPA000401,399,667.00195
NPA000402,400,664.34875
NPA000403,401,984.7598
NPA000404,402,576.7875
NPA000405,403,773.89575
NPA000406,404,1375.347
NPA000407,405,941.4189
NPA000408,406,1223.42
NPA000409,407,575.49097
NPA000410,408,728.32007
NPA000411,409,92.078285
NPA000412,410,853.0856
NPA000413,411,753.66895
NPA000414,412,990.53955
NPA000415,413,1124.3845
NPA000416,414,776.50366
NPA000417,415,982.1165
NPA000418,416,657.8653
NPA000419,417,802.55963
NPA000420,418,688.5301
NPA000421,419,931.67236
NPA000422,420,898.5955
NPA000423,421,822.32416
NPA000424,422,917.09937
NPA000425,423,889.0376
NPA000426,424,1213.2931
NPA000427,425,935.794
NPA000428,426,1092.4631
NPA000429,427,866.3006
NPA000430,428,1272.2323
NPA000431,429,645.7262
NPA000432,430,952.7955
NPA000433,431,800.0367
NPA000434,432,851.5347
NPA000435,433,649.0844
NPA000436,434,717.5731
NPA000437,435,791.31836
NPA000438,436,583.2323
NPA000439,437,861.2794
NPA000440,438,1271.2567
NPA000441,439,886.56
NPA000442,440,802.2446
NPA000443,441,984.98785
NPA000444,442,1193.1888
NPA000445,443,816.2345
NPA000446,444,1049.537
NPA000447,445,1154.5249
NPA000448,446,770.4163
NPA000449,447,745.0746
NPA000450,448,872.56635
NPA000451,449,1032.649
NPA000452,450,1293.9083
NPA000453,451,1035.7615
NPA000454,452,898.04614
NPA000455,453,906.1724
NPA000456,454,584.1339
NPA000457,455,814.72687
NPA000458,456,685.55493
NPA000459,457,952.781
NPA000460,458,668.14484
NPA000461,459,822.9829
NPA000462,460,799.81836
NPA000463,461,860.16064
NPA000464,462,1008.5695
NPA000465,463,952.3252
NPA000466,464,649.6123
NPA000467,465,887.23425
NPA000468,466,941.86255
NPA000469,467,718.1649
NPA000470,468,1037.263
NPA000471,469,746.60455
NPA000472,470,774.46985
NPA000473,471,1081.2007
NPA000474,472,724.33514
NPA000475,473,929.86847
NPA000476,474,645.44653
NPA000477,475,598.3304
